  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.205964459E-04   0.464828036E-03   0.431916262E-01        -0.210405140E-03   0.622949592E-03  -0.159591125E-03   0.227643284E-07   0.166662774E-04   0.745210983E-04      -0.210405140E-03   0.622949592E-03  -0.159591125E-03   0.227643284E-07   0.166662774E-04   0.745210983E-04        -0.342865243E+06   0.858715858E+08   0.194413981E+04   0.118374508E+03   0.241661022E+05   0.387509711E+06      -0.342865243E+06   0.858715858E+08   0.194413981E+04   0.118374508E+03   0.241661022E+05   0.387509711E+06       0.000000000E+00   0.000000000E+00   0.193927056E+09
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.171719598E-04   0.387327454E-03   0.431915531E-01        -0.175354812E-03   0.518736945E-03  -0.132983198E-03   0.914023110E-07   0.507446508E-04   0.621129540E-04      -0.175354812E-03   0.518736945E-03  -0.132983198E-03   0.914023110E-07   0.507446508E-04   0.621129540E-04        -0.287624446E+06   0.715051347E+08  -0.102782382E+03   0.475292017E+03   0.735797436E+05   0.322987361E+06      -0.287624446E+06   0.715051347E+08  -0.102782382E+03   0.475292017E+03   0.735797436E+05   0.322987361E+06       0.000000000E+00   0.000000000E+00  -0.334182925E+08
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.137474335E-04   0.309845387E-03   0.431914933E-01        -0.140307105E-03   0.414823027E-03  -0.106374737E-03   0.157767878E-06   0.847965180E-04   0.497200141E-04      -0.140307105E-03   0.414823027E-03  -0.106374737E-03   0.157767878E-06   0.847965180E-04   0.497200141E-04        -0.231062546E+06   0.571806542E+08  -0.807193433E+03   0.820392966E+03   0.122954951E+06   0.258544073E+06      -0.231062546E+06   0.571806542E+08  -0.807193433E+03   0.820392966E+03   0.122954951E+06   0.258544073E+06       0.000000000E+00   0.000000000E+00   0.136202299E+08
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.103229359E-04   0.232383392E-03   0.431914467E-01        -0.105262722E-03   0.311209933E-03  -0.797662758E-04   0.221859629E-06   0.118821195E-03   0.373425280E-04      -0.105262722E-03   0.311209933E-03  -0.797662758E-04   0.221859629E-06   0.118821195E-03   0.373425280E-04        -0.173180639E+06   0.428984329E+08  -0.169038661E+03   0.115367007E+04   0.172290733E+06   0.194181146E+06      -0.173180639E+06   0.428984329E+08  -0.169038661E+03   0.115367007E+04   0.172290733E+06   0.194181146E+06       0.000000000E+00   0.000000000E+00  -0.155149128E+10
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.689853548E-05   0.154943021E-03   0.431914135E-01        -0.702223671E-04   0.207899735E-03  -0.531583486E-04   0.283676346E-06   0.152817999E-03   0.249807437E-04      -0.702223671E-04   0.207899735E-03  -0.531583486E-04   0.283676346E-06   0.152817999E-03   0.249807437E-04        -0.113979926E+06   0.286587562E+08   0.181162807E+04   0.147511700E+04   0.221586099E+06   0.129899867E+06      -0.113979926E+06   0.286587562E+08   0.181162807E+04   0.147511700E+04   0.221586099E+06   0.129899867E+06       0.000000000E+00   0.000000000E+00   0.686690844E-08
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.689839848E-05   0.154939934E-03   0.431914135E-01        -0.702209689E-04   0.207895606E-03  -0.553328365E-04  -0.492743856E-04   0.914096585E-04   0.249802485E-04      -0.702209689E-04   0.207895606E-03  -0.553328365E-04  -0.492743856E-04   0.914096585E-04   0.249802485E-04         0.303546019E+07   0.592787258E+07   0.274217724E+03   0.755577752E+04   0.211547642E+06  -0.355405456E+07       0.303546019E+07   0.592787258E+07   0.274217724E+03   0.755577752E+04   0.211547642E+06  -0.355405456E+07       0.000000000E+00   0.000000000E+00   0.108961839E+09
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.344923385E-05   0.774707444E-04   0.431913927E-01        -0.351108368E-04   0.103948846E-03  -0.276666959E-04  -0.492722441E-04   0.914438637E-04   0.124902496E-04      -0.351108368E-04   0.103948846E-03  -0.276666959E-04  -0.492722441E-04   0.914438637E-04   0.124902496E-04         0.151774533E+07   0.296396603E+07   0.137110143E+03   0.762703270E+04   0.211665389E+06  -0.177704511E+07       0.151774533E+07   0.296396603E+07   0.137110143E+03   0.762703270E+04   0.211665389E+06  -0.177704511E+07       0.000000000E+00   0.000000000E+00  -0.124112259E+11
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.970379063E-14  -0.918040778E-15   0.431913858E-01        -0.331879498E-14  -0.332267204E-14  -0.194345864E-13  -0.492715303E-04   0.914552657E-04  -0.566886763E-14      -0.331879498E-14  -0.332267204E-14  -0.194345864E-13  -0.492715303E-04   0.914552657E-04  -0.566886763E-14        -0.173630947E-03  -0.173671268E-03  -0.253547499E-03   0.765078507E+04   0.211704639E+06   0.102139528E-04      -0.173630947E-03  -0.173671268E-03  -0.253547499E-03   0.765078507E+04   0.211704639E+06   0.102139528E-04       0.000000000E+00   0.000000000E+00   0.334182925E+08
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.344923387E-05  -0.774707444E-04   0.431913927E-01         0.351108368E-04  -0.103948846E-03   0.276666959E-04  -0.492722441E-04   0.914438637E-04  -0.124902496E-04       0.351108368E-04  -0.103948846E-03   0.276666959E-04  -0.492722441E-04   0.914438637E-04  -0.124902496E-04        -0.151774533E+07  -0.296396603E+07  -0.137110442E+03   0.762703271E+04   0.211665389E+06   0.177704511E+07      -0.151774533E+07  -0.296396603E+07  -0.137110442E+03   0.762703271E+04   0.211665389E+06   0.177704511E+07       0.000000000E+00   0.000000000E+00   0.136202299E+08
