  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.206104489E-04   0.464783222E-03   0.431807204E-01        -0.210535794E-03   0.622621769E-03  -0.159902001E-03   0.214147175E-04   0.351958327E-04   0.745969445E-04      -0.210535794E-03   0.622621769E-03  -0.159902001E-03   0.214147175E-04   0.351958327E-04   0.745969445E-04        -0.347293225E+06   0.858235242E+08  -0.370677209E+04   0.111356531E+06   0.510339575E+05   0.387904112E+06      -0.347293225E+06   0.858235242E+08  -0.370677209E+04   0.111356531E+06   0.510339575E+05   0.387904112E+06       0.000000000E+00   0.000000000E+00   0.138778525-310
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.171894237E-04   0.387304079E-03   0.431806472E-01        -0.175447080E-03   0.518794474E-03  -0.133252112E-03   0.462036875E-05   0.545546062E-04   0.621614338E-04      -0.175447080E-03   0.518794474E-03  -0.133252112E-03   0.462036875E-05   0.545546062E-04   0.621614338E-04        -0.289677134E+06   0.715115886E+08  -0.335413454E+04   0.240259175E+05   0.791041790E+05   0.323239456E+06      -0.289677134E+06   0.715115886E+08  -0.335413454E+04   0.240259175E+05   0.791041790E+05   0.323239456E+06       0.000000000E+00   0.000000000E+00   0.139202924-310
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.137606976E-04   0.309832416E-03   0.431805872E-01        -0.140357662E-03   0.414997130E-03  -0.106601688E-03  -0.912076279E-05   0.703939493E-04   0.497272520E-04      -0.140357662E-03   0.414997130E-03  -0.106601688E-03  -0.912076279E-05   0.703939493E-04   0.497272520E-04        -0.231915259E+06   0.572038677E+08  -0.285686247E+04  -0.474279665E+05   0.102071227E+06   0.258581711E+06      -0.231915259E+06   0.572038677E+08  -0.285686247E+04  -0.474279665E+05   0.102071227E+06   0.258581711E+06       0.000000000E+00   0.000000000E+00   0.139627323-310
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.103258656E-04   0.232367981E-03   0.431805406E-01        -0.105268244E-03   0.311225415E-03  -0.799512641E-04  -0.198083094E-04   0.827134382E-04   0.372943331E-04      -0.105268244E-03   0.311225415E-03  -0.799512641E-04  -0.198083094E-04   0.827134382E-04   0.372943331E-04        -0.174037680E+06   0.428997484E+08  -0.224388715E+04  -0.103003209E+06   0.119934485E+06   0.193930532E+06      -0.174037680E+06   0.428997484E+08  -0.224388715E+04  -0.103003209E+06   0.119934485E+06   0.193930532E+06       0.000000000E+00   0.000000000E+00   0.140051722-310
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.688652328E-05   0.154910523E-03   0.431805072E-01        -0.701795304E-04   0.207475004E-03  -0.533013751E-04  -0.274421484E-04   0.915129315E-04   0.248626109E-04      -0.701795304E-04   0.207475004E-03  -0.533013751E-04  -0.274421484E-04   0.915129315E-04   0.248626109E-04        -0.116074489E+06   0.285986173E+08  -0.154414910E+04  -0.142699171E+06   0.132693751E+06   0.129285577E+06      -0.116074489E+06   0.285986173E+08  -0.154414910E+04  -0.142699171E+06   0.132693751E+06   0.129285577E+06       0.000000000E+00   0.000000000E+00   0.140476121-310
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.688638611E-05   0.154907435E-03   0.431805072E-01        -0.701781317E-04   0.207470868E-03  -0.533003127E-04  -0.274423918E-04   0.915132122E-04   0.248621154E-04      -0.701781317E-04   0.207470868E-03  -0.533003127E-04  -0.274423918E-04   0.915132122E-04   0.248621154E-04         0.303566364E+07   0.592321323E+07   0.217931875E+05   0.803413200E+05   0.252826946E+06  -0.354579631E+07       0.303566364E+07   0.592321323E+07   0.217931875E+05   0.803413200E+05   0.252826946E+06  -0.354579631E+07       0.000000000E+00   0.000000000E+00   0.141112720-310
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.344399082E-05   0.774535914E-04   0.431804873E-01        -0.350894180E-04   0.103733272E-03  -0.266504238E-04  -0.320226467E-04   0.967928522E-04   0.124310246E-04      -0.350894180E-04   0.103733272E-03  -0.266504238E-04  -0.320226467E-04   0.967928522E-04   0.124310246E-04         0.151773985E+07   0.296149582E+07   0.108819812E+05   0.750112977E+05   0.261793771E+06  -0.177281821E+07       0.151773985E+07   0.296149582E+07   0.108819812E+05   0.750112977E+05   0.261793771E+06  -0.177281821E+07       0.000000000E+00   0.000000000E+00   0.141749319-310
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2         0.147390038E-17   0.837316181E-18   0.431804806E-01        -0.343985501E-17   0.280044327E-17  -0.971188554E-17  -0.335494392E-04   0.985527794E-04   0.741928200E-19      -0.343985501E-17   0.280044327E-17  -0.971188554E-17  -0.335494392E-04   0.985527794E-04   0.741928200E-19        -0.105175880E-06  -0.402767776E-07  -0.114175603E-06   0.732345760E+05   0.264782793E+06   0.225350991E-07      -0.105175880E-06  -0.402767776E-07  -0.114175603E-06   0.732345760E+05   0.264782793E+06   0.225350991E-07       0.000000000E+00   0.000000000E+00   0.142173718-310
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.344399082E-05  -0.774535914E-04   0.431804873E-01         0.350894180E-04  -0.103733272E-03   0.266504238E-04  -0.320226467E-04   0.967928522E-04  -0.124310246E-04       0.350894180E-04  -0.103733272E-03   0.266504238E-04  -0.320226467E-04   0.967928522E-04  -0.124310246E-04        -0.151773985E+07  -0.296149582E+07  -0.108819812E+05   0.750112977E+05   0.261793771E+06   0.177281821E+07      -0.151773985E+07  -0.296149582E+07  -0.108819812E+05   0.750112977E+05   0.261793771E+06   0.177281821E+07       0.000000000E+00   0.000000000E+00   0.142810317-310
