  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.951523201E-19   0.467028741E-03   0.432976019E-01        -0.850538444E-04   0.623752959E-03  -0.211539197E-03  -0.107369101E-20   0.741047419E-04   0.111674999E-18      -0.850538444E-04   0.623752959E-03  -0.211539197E-03  -0.107369101E-20   0.741047419E-04   0.111674999E-18         0.854067746E+06   0.863158641E+08  -0.422571813E+04  -0.558319325E-11   0.107451876E+06   0.580709994E-09       0.854067746E+06   0.863158641E+08  -0.422571813E+04  -0.558319325E-11   0.107451876E+06   0.580709994E-09       0.000000000E+00   0.000000000E+00   0.878506258-311
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.986737248E-19   0.389191915E-03   0.432975050E-01        -0.708784401E-04   0.519795867E-03  -0.176283252E-03  -0.110945536E-20   0.743323398E-04   0.930499643E-19      -0.708784401E-04   0.519795867E-03  -0.176283252E-03  -0.110945536E-20   0.743323398E-04   0.930499643E-19         0.711725496E+06   0.719301267E+08  -0.352144352E+04  -0.576916786E-11   0.107781893E+06   0.483859814E-09       0.711725496E+06   0.719301267E+08  -0.352144352E+04  -0.576916786E-11   0.107781893E+06   0.483859814E-09       0.000000000E+00   0.000000000E+00   0.882750249-311
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.102195163E-18   0.311353528E-03   0.432974256E-01        -0.567027513E-04   0.415836687E-03  -0.141026600E-03  -0.114522042E-20   0.745185603E-04   0.744245916E-19      -0.567027513E-04   0.415836687E-03  -0.141026600E-03  -0.114522042E-20   0.745185603E-04   0.744245916E-19         0.569380389E+06   0.575441006E+08  -0.281715478E+04  -0.595514620E-11   0.108051912E+06   0.387007876E-09       0.569380389E+06   0.575441006E+08  -0.281715478E+04  -0.595514620E-11   0.108051912E+06   0.387007876E-09       0.000000000E+00   0.000000000E+00   0.886994241-311
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.105716565E-18   0.233515141E-03   0.432973639E-01        -0.425270625E-04   0.311877508E-03  -0.105769947E-03  -0.118098549E-20   0.746633985E-04   0.557992547E-19      -0.425270625E-04   0.311877508E-03  -0.105769947E-03  -0.118098549E-20   0.746633985E-04   0.557992547E-19         0.427035282E+06   0.431580744E+08  -0.211286604E+04  -0.614112454E-11   0.108261928E+06   0.290156125E-09       0.427035282E+06   0.431580744E+08  -0.211286604E+04  -0.614112454E-11   0.108261928E+06   0.290156125E-09       0.000000000E+00   0.000000000E+00   0.891238232-311
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.109237860E-18   0.155678315E-03   0.432973199E-01        -0.283516582E-04   0.207920416E-03  -0.705140026E-04  -0.121674984E-20   0.747668527E-04   0.371743275E-19      -0.283516582E-04   0.207920416E-03  -0.705140026E-04  -0.121674984E-20   0.747668527E-04   0.371743275E-19         0.284693031E+06   0.287723370E+08  -0.140859143E+04  -0.632709915E-11   0.108411936E+06   0.193306503E-09       0.284693031E+06   0.287723370E+08  -0.140859143E+04  -0.632709915E-11   0.108411936E+06   0.193306503E-09       0.000000000E+00   0.000000000E+00   0.895482224-311
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.109238001E-18   0.155675213E-03   0.432973199E-01        -0.283510931E-04   0.207916272E-03  -0.705125972E-04  -0.121675126E-20   0.747668560E-04   0.371735850E-19      -0.283510931E-04   0.207916272E-03  -0.705125972E-04  -0.121675126E-20   0.747668560E-04   0.371735850E-19        -0.336381065E+07   0.192438402E+07   0.350452648E+05   0.154037714E-10   0.388787651E+06   0.366652258E-09      -0.336381065E+07   0.192438402E+07   0.350452648E+05   0.154037714E-10   0.388787651E+06   0.366652258E-09       0.000000000E+00   0.000000000E+00   0.899726216-311
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.112759259E-18   0.778383874E-04   0.432972934E-01        -0.141756888E-04   0.103959179E-03  -0.352566524E-04  -0.125251561E-20   0.748289278E-04   0.185486935E-19      -0.141756888E-04   0.103959179E-03  -0.352566524E-04  -0.125251561E-20   0.748289278E-04   0.185486935E-19        -0.168192220E+07   0.962201665E+06   0.175228082E+05   0.153661662E-10   0.389110425E+06   0.183128884E-09      -0.168192220E+07   0.962201665E+06   0.175228082E+05   0.153661662E-10   0.389110425E+06   0.183128884E-09       0.000000000E+00   0.000000000E+00   0.903970207-311
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.116280551E-18  -0.469879418E-17   0.432972846E-01         0.207348895E-17  -0.169390292E-16   0.448043025E-17  -0.128828068E-20   0.748496190E-04  -0.765360977E-22       0.207348895E-17  -0.169390292E-16   0.448043025E-17  -0.128828068E-20   0.748496190E-04  -0.765360977E-22         0.235138575E-06  -0.163749772E-06  -0.184034402E-07   0.153190579E-10   0.389218019E+06  -0.397987708E-12       0.235138575E-06  -0.163749772E-06  -0.184034402E-07   0.153190579E-10   0.389218019E+06  -0.397987708E-12       0.000000000E+00   0.000000000E+00   0.908214199-311
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.119801806E-18  -0.778383874E-04   0.432972934E-01         0.141756888E-04  -0.103959179E-03   0.352566524E-04  -0.132404574E-20   0.748289278E-04  -0.187017299E-19       0.141756888E-04  -0.103959179E-03   0.352566524E-04  -0.132404574E-20   0.748289278E-04  -0.187017299E-19         0.168192220E+07  -0.962201665E+06  -0.175228082E+05   0.152624475E-10   0.389110425E+06  -0.183924673E-09       0.168192220E+07  -0.962201665E+06  -0.175228082E+05   0.152624475E-10   0.389110425E+06  -0.183924673E-09       0.000000000E+00   0.000000000E+00   0.912458190-311
