  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1         0.145861790E-02   0.262536624E-02  -0.109240022E-04        -0.126583262E-02   0.526658853E-02   0.366999573E-02   0.994685063E-07   0.444155114E-04   0.266033593E-02      -0.126583262E-02   0.526658853E-02   0.366999573E-02   0.994685063E-07   0.444155114E-04   0.266033593E-02        -0.896046073E+07   0.210922073E+09   0.637450883E+04   0.517236233E+03   0.644024916E+05   0.138337468E+08      -0.896046073E+07   0.210922073E+09   0.637450883E+04   0.517236233E+03   0.644024916E+05   0.138337468E+08       0.000000000E+00   0.000000000E+00   0.193927056E+09
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1         0.145861527E-02   0.262516934E-02  -0.908799542E-05        -0.126589797E-02   0.524071542E-02   0.367417834E-02  -0.105332842E-04   0.681636578E-04   0.266044074E-02      -0.126589797E-02   0.524071542E-02   0.367417834E-02  -0.105332842E-04   0.681636578E-04   0.266044074E-02        -0.905848677E+07   0.207304760E+09  -0.628261548E+05  -0.547730777E+05   0.988373038E+05   0.138342919E+08      -0.905848677E+07   0.207304760E+09  -0.628261548E+05  -0.547730777E+05   0.988373038E+05   0.138342919E+08       0.000000000E+00   0.000000000E+00  -0.334182925E+08
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1         0.145860733E-02   0.262525841E-02  -0.724986045E-05        -0.126609337E-02   0.524851425E-02   0.367836103E-02  -0.211669461E-04   0.921078972E-04   0.266076376E-02      -0.126609337E-02   0.524851425E-02   0.367836103E-02  -0.211669461E-04   0.921078972E-04   0.266076376E-02        -0.900598852E+07   0.208418717E+09   0.193806348E+05  -0.110068120E+06   0.133556451E+06   0.138359715E+08      -0.900598852E+07   0.208418717E+09   0.193806348E+05  -0.110068120E+06   0.133556451E+06   0.138359715E+08       0.000000000E+00   0.000000000E+00   0.136202299E+08
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1         0.145859407E-02   0.262563346E-02  -0.540963413E-05        -0.126641885E-02   0.528998589E-02   0.368254372E-02  -0.318013040E-04   0.116247755E-03   0.266130498E-02      -0.126641885E-02   0.528998589E-02   0.368254372E-02  -0.318013040E-04   0.116247755E-03   0.266130498E-02        -0.880296247E+07   0.214264063E+09   0.252997786E+06  -0.165366781E+06   0.168559245E+06   0.138387859E+08      -0.880296247E+07   0.214264063E+09   0.252997786E+06  -0.165366781E+06   0.168559245E+06   0.138387859E+08       0.000000000E+00   0.000000000E+00  -0.155149128E+10
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1         0.145857550E-02   0.262629446E-02  -0.356735347E-05        -0.126687437E-02   0.536512849E-02   0.368672633E-02  -0.424361443E-04   0.140582741E-03   0.266206439E-02      -0.126687437E-02   0.536512849E-02   0.368672633E-02  -0.424361443E-04   0.140582741E-03   0.266206439E-02        -0.844941726E+07   0.224840539E+09   0.638016052E+06  -0.220667950E+06   0.203844974E+06   0.138427348E+08      -0.844941726E+07   0.224840539E+09   0.638016052E+06  -0.220667950E+06   0.203844974E+06   0.138427348E+08       0.000000000E+00   0.000000000E+00   0.686690844E-08
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2         0.145857550E-02   0.262629440E-02  -0.356728118E-05        -0.126687443E-02   0.536512154E-02   0.356731682E-02  -0.367335731E-03  -0.140699101E-02   0.266206409E-02      -0.126687443E-02   0.536512154E-02   0.356731682E-02  -0.367335731E-03  -0.140699101E-02   0.266206409E-02         0.255878333E+08  -0.410103165E+09  -0.128056220E+05  -0.385949945E+07  -0.536699961E+07  -0.368307548E+08       0.255878333E+08  -0.410103165E+09  -0.128056220E+05  -0.385949945E+07  -0.536699961E+07  -0.368307548E+08       0.000000000E+00   0.000000000E+00   0.108961839E+09
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2         0.145843774E-02   0.262322402E-02  -0.178365844E-05        -0.126859583E-02   0.503467709E-02   0.356731682E-02  -0.183669709E-03  -0.703502566E-03   0.265029339E-02      -0.126859583E-02   0.503467709E-02   0.356731682E-02  -0.183669709E-03  -0.703502566E-03   0.265029339E-02         0.143063589E+08  -0.424803359E+09  -0.153891859E+07  -0.192976909E+07  -0.268352674E+07  -0.265329611E+08       0.143063589E+08  -0.424803359E+09  -0.153891859E+07  -0.192976909E+07  -0.268352674E+07  -0.265329611E+08       0.000000000E+00   0.000000000E+00  -0.124112259E+11
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2         0.145839182E-02   0.262220053E-02   0.877054120E-13        -0.126916964E-02   0.492452599E-02   0.356731682E-02   0.828361905E-15   0.135798558E-14   0.264636972E-02      -0.126916964E-02   0.492452599E-02   0.356731682E-02   0.828361905E-15   0.135798558E-14   0.264636972E-02         0.105457668E+08  -0.429703555E+09  -0.204763652E+07   0.530052630E-05   0.606848062E-05  -0.231002713E+08       0.105457668E+08  -0.429703555E+09  -0.204763652E+07   0.530052630E-05   0.606848062E-05  -0.231002713E+08       0.000000000E+00   0.000000000E+00   0.334182925E+08
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2         0.145843774E-02   0.262322402E-02   0.178365862E-05        -0.126859583E-02   0.503467709E-02   0.356731682E-02   0.183669709E-03   0.703502566E-03   0.265029339E-02      -0.126859583E-02   0.503467709E-02   0.356731682E-02   0.183669709E-03   0.703502566E-03   0.265029339E-02         0.143063589E+08  -0.424803359E+09  -0.153891859E+07   0.192976909E+07   0.268352674E+07  -0.265329611E+08       0.143063589E+08  -0.424803359E+09  -0.153891859E+07   0.192976909E+07   0.268352674E+07  -0.265329611E+08       0.000000000E+00   0.000000000E+00   0.136202299E+08
  10        -0.560700739E-17   0.499999997E+00   0.999990034E-03       0.000000000E+00   0.500000000E+00   0.999990000E-03            2      5      2         0.145857550E-02   0.262629440E-02   0.356728135E-05        -0.126687443E-02   0.536512154E-02   0.356731682E-02   0.367335731E-03   0.140699101E-02   0.266206409E-02      -0.126687443E-02   0.536512154E-02   0.356731682E-02   0.367335731E-03   0.140699101E-02   0.266206409E-02         0.255878333E+08  -0.410103165E+09  -0.128056220E+05   0.385949945E+07   0.536699961E+07  -0.368307548E+08       0.255878333E+08  -0.410103165E+09  -0.128056220E+05   0.385949945E+07   0.536699961E+07  -0.368307548E+08       0.000000000E+00   0.000000000E+00  -0.155149128E+10
 
  11        -0.560700739E-17   0.499999997E+00   0.100000997E-02       0.000000000E+00   0.500000000E+00   0.100001000E-02            1      5      3         0.145857550E-02   0.262629446E-02   0.356735365E-05        -0.126687437E-02   0.536512849E-02   0.368672633E-02   0.424361443E-04  -0.140582741E-03   0.266206439E-02      -0.126687437E-02   0.536512849E-02   0.368672633E-02   0.424361443E-04  -0.140582741E-03   0.266206439E-02        -0.844941726E+07   0.224840539E+09   0.638016052E+06   0.220667950E+06  -0.203844974E+06   0.138427348E+08      -0.844941726E+07   0.224840539E+09   0.638016052E+06   0.220667950E+06  -0.203844974E+06   0.138427348E+08       0.000000000E+00   0.000000000E+00   0.134897176E+07
  12        -0.560700739E-17   0.499999997E+00   0.149999997E-02       0.000000000E+00   0.500000000E+00   0.150000000E-02            1      5      3         0.145859407E-02   0.262563346E-02   0.540963431E-05        -0.126641885E-02   0.528998589E-02   0.368254372E-02   0.318013040E-04  -0.116247755E-03   0.266130498E-02      -0.126641885E-02   0.528998589E-02   0.368254372E-02   0.318013040E-04  -0.116247755E-03   0.266130498E-02        -0.880296247E+07   0.214264063E+09   0.252997786E+06   0.165366781E+06  -0.168559245E+06   0.138387859E+08      -0.880296247E+07   0.214264063E+09   0.252997786E+06   0.165366781E+06  -0.168559245E+06   0.138387859E+08       0.000000000E+00   0.000000000E+00   0.198818385E+08
  13        -0.560700739E-17   0.499999997E+00   0.200000000E-02       0.000000000E+00   0.500000000E+00   0.200000000E-02            1      5      3         0.145860733E-02   0.262525841E-02   0.724986062E-05        -0.126609337E-02   0.524851425E-02   0.367836103E-02   0.211669461E-04  -0.921078972E-04   0.266076376E-02      -0.126609337E-02   0.524851425E-02   0.367836103E-02   0.211669461E-04  -0.921078972E-04   0.266076376E-02        -0.900598852E+07   0.208418717E+09   0.193806348E+05   0.110068120E+06  -0.133556451E+06   0.138359715E+08      -0.900598852E+07   0.208418717E+09   0.193806348E+05   0.110068120E+06  -0.133556451E+06   0.138359715E+08       0.000000000E+00   0.000000000E+00   0.135762658E+10
