  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.426022663E-02   0.306180378E-02  -0.189657136E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.226592830E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.226592830E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.328559604E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.328559604E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.426022663E-02   0.306180378E-02  -0.158048140E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.188827988E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.188827988E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.273800583E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.273800583E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.426022663E-02   0.306180378E-02  -0.126438510E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.151062389E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.151062389E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.219040463E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.219040463E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.426022663E-02   0.306180378E-02  -0.948288806E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.113296789E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.113296789E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.164280344E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.164280344E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.426022663E-02   0.306180378E-02  -0.632198853E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.755319470E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.755319470E-07  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.109521323E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07  -0.109521323E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.426022663E-02   0.306180378E-02  -0.632186252E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.755304415E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.755304415E-07  -0.105563092E-01         0.155764603E+09  -0.621791865E+09   0.228892116E+06  -0.141619578E+03  -0.251138718E+03   0.109799149E+09       0.155764603E+09  -0.621791865E+09   0.228892116E+06  -0.141619578E+03  -0.251138718E+03   0.109799149E+09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.426022663E-02   0.306180378E-02  -0.316096298E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.377655998E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.377655998E-07  -0.105563092E-01         0.155764603E+09  -0.621791865E+09   0.228892116E+06  -0.708104995E+02  -0.125570619E+03   0.109799149E+09       0.155764603E+09  -0.621791865E+09   0.228892116E+06  -0.708104995E+02  -0.125570619E+03   0.109799149E+09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.426022663E-02   0.306180378E-02   0.320280188E-16        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.677794152E-18  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17  -0.677794152E-18  -0.105563092E-01         0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.739817349E-08   0.263488944E-08   0.109799149E+09       0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.739817349E-08   0.263488944E-08   0.109799149E+09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.426022663E-02   0.306180378E-02   0.316096298E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.377655998E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.377655998E-07  -0.105563092E-01         0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.708104996E+02   0.125570619E+03   0.109799149E+09       0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.708104996E+02   0.125570619E+03   0.109799149E+09       0.000000000E+00   0.000000000E+00   0.000000000E+00
  10        -0.560700739E-17   0.499999997E+00   0.999990034E-03       0.000000000E+00   0.500000000E+00   0.999990000E-03            2      5      2        -0.426022663E-02   0.306180378E-02   0.632186252E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.755304415E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.755304415E-07  -0.105563092E-01         0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.141619578E+03   0.251138718E+03   0.109799149E+09       0.155764603E+09  -0.621791865E+09   0.228892116E+06   0.141619578E+03   0.251138718E+03   0.109799149E+09       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
  11        -0.560700739E-17   0.499999997E+00   0.100000997E-02       0.000000000E+00   0.500000000E+00   0.100001000E-02            1      5      3        -0.426022663E-02   0.306180378E-02   0.632198853E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.755319470E-07  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.755319470E-07  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.109521323E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.109521323E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
  12        -0.560700739E-17   0.499999997E+00   0.149999997E-02       0.000000000E+00   0.500000000E+00   0.150000000E-02            1      5      3        -0.426022663E-02   0.306180378E-02   0.948288806E-05        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.113296789E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.113296789E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.164280344E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.164280344E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
  13        -0.560700739E-17   0.499999997E+00   0.200000000E-02       0.000000000E+00   0.500000000E+00   0.200000000E-02            1      5      3        -0.426022663E-02   0.306180378E-02   0.126438510E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.151062389E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.151062389E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.219040463E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.219040463E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
  14        -0.560700739E-17   0.499999997E+00   0.250000003E-02       0.000000000E+00   0.500000000E+00   0.250000000E-02            1      5      3        -0.426022663E-02   0.306180378E-02   0.158048140E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.188827988E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.188827988E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.273800583E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.273800583E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
  15        -0.560700739E-17   0.499999997E+00   0.299999003E-02       0.000000000E+00   0.500000000E+00   0.299999000E-02            1      5      3        -0.426022663E-02   0.306180378E-02   0.189657136E-04        -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.226592830E-06  -0.105563092E-01      -0.874410949E-02   0.624536456E-02   0.632192552E-02   0.260722933E-17   0.226592830E-06  -0.105563092E-01        -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.328559604E+03  -0.548928080E+08      -0.778206289E+08   0.310889652E+09  -0.113105663E+06   0.135575925E-07   0.328559604E+03  -0.548928080E+08       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
