  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.439327593E-14   0.269915448E-02  -0.918128743E-05        -0.616311697E-04   0.542216238E-02   0.312485996E-02   0.152366816E-17   0.144993084E-03  -0.870802217E-14      -0.616311697E-04   0.542216238E-02   0.312485996E-02   0.152366816E-17   0.144993084E-03  -0.870802217E-14         0.299032614E+07   0.235759965E+09   0.866587993E+05   0.792307446E-08   0.210239971E+06  -0.452817153E-04       0.299032614E+07   0.235759965E+09   0.866587993E+05   0.792307446E-08   0.210239971E+06  -0.452817153E-04       0.000000000E+00   0.000000000E+00   0.193927056E+09
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.405618083E-14   0.269874945E-02  -0.761780778E-05        -0.616098531E-04   0.536842187E-02   0.312918374E-02   0.353358595E-17   0.135980372E-03  -0.724487698E-14      -0.616098531E-04   0.536842187E-02   0.312918374E-02   0.353358595E-17   0.135980372E-03  -0.724487698E-14         0.276814308E+07   0.228227527E+09  -0.106328965E+06   0.183746469E-07   0.197171539E+06  -0.376733603E-04       0.276814308E+07   0.228227527E+09  -0.106328965E+06   0.183746469E-07   0.197171539E+06  -0.376733603E-04       0.000000000E+00   0.000000000E+00  -0.334182925E+08
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.371907778E-14   0.269889721E-02  -0.605213483E-05        -0.615474060E-04   0.538175945E-02   0.313350761E-02   0.552264421E-17   0.127213594E-03  -0.579454934E-14      -0.615474060E-04   0.538175945E-02   0.313350761E-02   0.552264421E-17   0.127213594E-03  -0.579454934E-14         0.284925904E+07   0.230121634E+09   0.370379256E+04   0.287177499E-07   0.184459711E+06  -0.301316566E-04       0.284925904E+07   0.230121634E+09   0.370379256E+04   0.287177499E-07   0.184459711E+06  -0.301316566E-04       0.000000000E+00   0.000000000E+00   0.136202299E+08
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.338197352E-14   0.269959778E-02  -0.448429995E-05        -0.614438282E-04   0.546217688E-02   0.313783148E-02   0.746427393E-17   0.118692933E-03  -0.434392098E-14      -0.614438282E-04   0.546217688E-02   0.313783148E-02   0.746427393E-17   0.118692933E-03  -0.434392098E-14         0.323368154E+07   0.241442534E+09   0.416763986E+06   0.388142244E-07   0.172104753E+06  -0.225883891E-04       0.323368154E+07   0.241442534E+09   0.416763986E+06   0.388142244E-07   0.172104753E+06  -0.225883891E-04       0.000000000E+00   0.000000000E+00  -0.155149128E+10
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.304487483E-14   0.270085112E-02  -0.291433466E-05        -0.612991232E-04   0.560967050E-02   0.314215526E-02   0.937714294E-17   0.110418553E-03  -0.288671479E-14      -0.612991232E-04   0.560967050E-02   0.314215526E-02   0.937714294E-17   0.110418553E-03  -0.288671479E-14         0.392139373E+07   0.262189713E+09   0.113283420E+07   0.487611433E-07   0.160106902E+06  -0.150109169E-04       0.392139373E+07   0.262189713E+09   0.113283420E+07   0.487611433E-07   0.160106902E+06  -0.150109169E-04       0.000000000E+00   0.000000000E+00   0.686690844E-08
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.304486139E-14   0.270085090E-02  -0.291427431E-05        -0.612991085E-04   0.560964568E-02   0.291430386E-02   0.398203701E-16  -0.328277026E-02  -0.288679520E-14      -0.612991085E-04   0.560964568E-02   0.291430386E-02   0.398203701E-16  -0.328277026E-02  -0.288679520E-14        -0.550426618E+07  -0.462449892E+09  -0.602241177E+06   0.569857428E-07  -0.170704054E+08  -0.150120245E-04      -0.550426618E+07  -0.462449892E+09  -0.602241177E+06   0.569857428E-07  -0.170704054E+08  -0.150120245E-04       0.000000000E+00   0.000000000E+00   0.108961839E+09
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.270773772E-14   0.269120386E-02  -0.145715152E-05        -0.608680751E-04   0.453970830E-02   0.291430386E-02   0.762657184E-16  -0.164140160E-02  -0.142436347E-14      -0.608680751E-04   0.453970830E-02   0.291430386E-02   0.762657184E-16  -0.164140160E-02  -0.142436347E-14        -0.102739814E+08  -0.474703605E+09  -0.559566405E+07   0.110208391E-06  -0.853528834E+07  -0.740715616E-05      -0.102739814E+08  -0.474703605E+09  -0.559566405E+07   0.110208391E-06  -0.853528834E+07  -0.740715616E-05       0.000000000E+00   0.000000000E+00  -0.124112259E+11
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.237058895E-14   0.268798809E-02   0.515528252E-12        -0.607243934E-04   0.418305296E-02   0.291430386E-02   0.112483485E-15   0.300531365E-14   0.311862570E-16      -0.607243934E-04   0.418305296E-02   0.291430386E-02   0.112483485E-15   0.300531365E-14   0.311862570E-16        -0.118639290E+08  -0.478788285E+09  -0.726018289E+07   0.163101054E-06   0.156276310E-04   0.161776901E-06      -0.118639290E+08  -0.478788285E+09  -0.726018289E+07   0.163101054E-06   0.156276310E-04   0.161776901E-06       0.000000000E+00   0.000000000E+00   0.334182925E+08
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.203342185E-14   0.269120386E-02   0.145715255E-05        -0.608680751E-04   0.453970830E-02   0.291430386E-02   0.148473010E-15   0.164140160E-02   0.148303307E-14      -0.608680751E-04   0.453970830E-02   0.291430386E-02   0.148473010E-15   0.164140160E-02   0.148303307E-14        -0.102739814E+08  -0.474703605E+09  -0.559566405E+07   0.215662766E-06   0.853528834E+07   0.771130588E-05      -0.102739814E+08  -0.474703605E+09  -0.559566405E+07   0.215662766E-06   0.853528834E+07   0.771130588E-05       0.000000000E+00   0.000000000E+00   0.136202299E+08
  10        -0.560700739E-17   0.499999997E+00   0.999990034E-03       0.000000000E+00   0.500000000E+00   0.999990000E-03            2      5      2        -0.169624319E-14   0.270085090E-02   0.291427534E-05        -0.612991085E-04   0.560964568E-02   0.291430386E-02   0.184231493E-15   0.328277026E-02   0.293410306E-14      -0.612991085E-04   0.560964568E-02   0.291430386E-02   0.184231493E-15   0.328277026E-02   0.293410306E-14        -0.550426618E+07  -0.462449892E+09  -0.602241177E+06   0.267889459E-06   0.170704054E+08   0.152566465E-04      -0.550426618E+07  -0.462449892E+09  -0.602241177E+06   0.267889459E-06   0.170704054E+08   0.152566465E-04       0.000000000E+00   0.000000000E+00  -0.155149128E+10
 
  11        -0.560700739E-17   0.499999997E+00   0.100000997E-02       0.000000000E+00   0.500000000E+00   0.100001000E-02            1      5      3        -0.169622975E-14   0.270085112E-02   0.291433569E-05        -0.612991232E-04   0.560967050E-02   0.314215526E-02   0.540479841E-16  -0.110418553E-03   0.293071990E-14      -0.612991232E-04   0.560967050E-02   0.314215526E-02   0.540479841E-16  -0.110418553E-03   0.293071990E-14         0.392139373E+07   0.262189713E+09   0.113283420E+07   0.281049517E-06  -0.160106902E+06   0.152397435E-04       0.392139373E+07   0.262189713E+09   0.113283420E+07   0.281049517E-06  -0.160106902E+06   0.152397435E-04       0.000000000E+00   0.000000000E+00   0.134897176E+07
