  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.425403114E-18   0.269900878E-02  -0.930292297E-05        -0.608604339E-04   0.539902228E-02   0.310098462E-02  -0.444005007E-21  -0.266509990E-04   0.872341963E-19      -0.608604339E-04   0.539902228E-02   0.310098462E-02  -0.444005007E-21  -0.266509990E-04   0.872341963E-19         0.278321721E+07   0.232403821E+09  -0.287691321E+06  -0.230882604E-11  -0.386439485E+05   0.453617821E-09       0.278321721E+07   0.232403821E+09  -0.287691321E+06  -0.230882604E-11  -0.386439485E+05   0.453617821E-09       0.000000000E+00   0.000000000E+00   0.878506258-311
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.425938837E-18   0.269898741E-02  -0.775246167E-05        -0.608604339E-04   0.539739305E-02   0.310098462E-02  -0.430301718E-21  -0.222092399E-04   0.795877256E-19      -0.608604339E-04   0.539739305E-02   0.310098462E-02  -0.430301718E-21  -0.222092399E-04   0.795877256E-19         0.277586199E+07   0.232174870E+09  -0.295046541E+06  -0.223756893E-11  -0.322033978E+05   0.413856173E-09       0.277586199E+07   0.232174870E+09  -0.295046541E+06  -0.223756893E-11  -0.322033978E+05   0.413856173E-09       0.000000000E+00   0.000000000E+00   0.882750249-311
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.426474831E-18   0.269896992E-02  -0.620196925E-05        -0.608604339E-04   0.539606002E-02   0.310098462E-02  -0.416598153E-21  -0.177673917E-04   0.719415929E-19      -0.608604339E-04   0.539606002E-02   0.310098462E-02  -0.416598153E-21  -0.177673917E-04   0.719415929E-19         0.276984395E+07   0.231987541E+09  -0.301064579E+06  -0.216631040E-11  -0.257627179E+05   0.374096283E-09       0.276984395E+07   0.231987541E+09  -0.301064579E+06  -0.216631040E-11  -0.257627179E+05   0.374096283E-09       0.000000000E+00   0.000000000E+00   0.886994241-311
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.427011087E-18   0.269895632E-02  -0.465147683E-05        -0.608604339E-04   0.539502322E-02   0.310098462E-02  -0.402894589E-21  -0.133255434E-04   0.642959517E-19      -0.608604339E-04   0.539502322E-02   0.310098462E-02  -0.402894589E-21  -0.133255434E-04   0.642959517E-19         0.276516326E+07   0.231841841E+09  -0.305745276E+06  -0.209505186E-11  -0.193220380E+05   0.334338949E-09       0.276516326E+07   0.231841841E+09  -0.305745276E+06  -0.209505186E-11  -0.193220380E+05   0.334338949E-09       0.000000000E+00   0.000000000E+00   0.891238232-311
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.427547593E-18   0.269894661E-02  -0.310101553E-05        -0.608604339E-04   0.539428266E-02   0.310098462E-02  -0.389191299E-21  -0.888378437E-05   0.566509554E-19      -0.608604339E-04   0.539428266E-02   0.310098462E-02  -0.389191299E-21  -0.888378437E-05   0.566509554E-19         0.276181996E+07   0.231737772E+09  -0.309088577E+06  -0.202379476E-11  -0.128814873E+05   0.294584968E-09       0.276181996E+07   0.231737772E+09  -0.309088577E+06  -0.202379476E-11  -0.128814873E+05   0.294584968E-09       0.000000000E+00   0.000000000E+00   0.895482224-311
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.427547615E-18   0.269894661E-02  -0.310095373E-05        -0.608604339E-04   0.539428263E-02   0.310098462E-02  -0.389190753E-21  -0.888360730E-05   0.566506506E-19      -0.608604339E-04   0.539428263E-02   0.310098462E-02  -0.389190753E-21  -0.888360730E-05   0.566506506E-19        -0.557210770E+07  -0.464043217E+09   0.532588490E+06  -0.260419183E-11  -0.461947580E+05  -0.350856972E-09      -0.557210770E+07  -0.464043217E+09   0.532588490E+06  -0.260419183E-11  -0.461947580E+05  -0.350856972E-09       0.000000000E+00   0.000000000E+00   0.899726216-311
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.428084382E-18   0.269894078E-02  -0.155049243E-05        -0.608604339E-04   0.539383830E-02   0.310098462E-02  -0.375487464E-21  -0.444184823E-05   0.490061457E-19      -0.608604339E-04   0.539383830E-02   0.310098462E-02  -0.375487464E-21  -0.444184823E-05   0.490061457E-19        -0.557411366E+07  -0.464048307E+09   0.530513975E+06  -0.156439967E-11  -0.230976108E+05  -0.390514260E-09      -0.557411366E+07  -0.464048307E+09   0.530513975E+06  -0.156439967E-11  -0.230976108E+05  -0.390514260E-09       0.000000000E+00   0.000000000E+00   0.903970207-311
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.428621421E-18   0.269893884E-02  -0.548530818E-14        -0.608604339E-04   0.539369019E-02   0.310098462E-02  -0.361783899E-21  -0.360941663E-17   0.413619789E-19      -0.608604339E-04   0.539369019E-02   0.310098462E-02  -0.361783899E-21  -0.360941663E-17   0.413619789E-19        -0.557478233E+07  -0.464050003E+09   0.529822451E+06  -0.524586654E-12  -0.187689665E-07  -0.430232548E-09      -0.557478233E+07  -0.464050003E+09   0.529822451E+06  -0.524586654E-12  -0.187689665E-07  -0.430232548E-09       0.000000000E+00   0.000000000E+00   0.908214199-311
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.429158720E-18   0.269894078E-02   0.155049241E-05        -0.608604339E-04   0.539383830E-02   0.310098462E-02  -0.348080335E-21   0.444184823E-05   0.337183035E-19      -0.608604339E-04   0.539383830E-02   0.310098462E-02  -0.348080335E-21   0.444184823E-05   0.337183035E-19        -0.557411366E+07  -0.464048307E+09   0.530513975E+06   0.515226367E-12   0.230976108E+05  -0.470011040E-09      -0.557411366E+07  -0.464048307E+09   0.530513975E+06   0.515226367E-12   0.230976108E+05  -0.470011040E-09       0.000000000E+00   0.000000000E+00   0.912458190-311
  10        -0.560700739E-17   0.499999997E+00   0.999990034E-03       0.000000000E+00   0.500000000E+00   0.999990000E-03            2      5      2        -0.429696270E-18   0.269894661E-02   0.310095371E-05        -0.608604339E-04   0.539428263E-02   0.310098462E-02  -0.334377045E-21   0.888360730E-05   0.260752729E-19      -0.608604339E-04   0.539428263E-02   0.310098462E-02  -0.334377045E-21   0.888360730E-05   0.260752729E-19        -0.557210770E+07  -0.464043217E+09   0.532588490E+06   0.155501852E-11   0.461947580E+05  -0.509848936E-09      -0.557210770E+07  -0.464043217E+09   0.532588490E+06   0.155501852E-11   0.461947580E+05  -0.509848936E-09       0.000000000E+00   0.000000000E+00   0.916702182-311
 
  11        -0.560700739E-17   0.499999997E+00   0.100000997E-02       0.000000000E+00   0.500000000E+00   0.100001000E-02            1      5      3        -0.429696292E-18   0.269894661E-02   0.310101552E-05        -0.608604339E-04   0.539428266E-02   0.310098462E-02  -0.334376499E-21   0.888378437E-05   0.260749683E-19      -0.608604339E-04   0.539428266E-02   0.310098462E-02  -0.334376499E-21   0.888378437E-05   0.260749683E-19         0.276181996E+07   0.231737772E+09  -0.309088577E+06  -0.173875779E-11   0.128814873E+05   0.135589835E-09       0.276181996E+07   0.231737772E+09  -0.309088577E+06  -0.173875779E-11   0.128814873E+05   0.135589835E-09       0.000000000E+00   0.000000000E+00   0.920946173-311
  12        -0.560700739E-17   0.499999997E+00   0.149999997E-02       0.000000000E+00   0.500000000E+00   0.150000000E-02            1      5      3        -0.430234103E-18   0.269895632E-02   0.465147682E-05        -0.608604339E-04   0.539502322E-02   0.310098462E-02  -0.320673209E-21   0.133255434E-04   0.184324292E-19      -0.608604339E-04   0.539502322E-02   0.310098462E-02  -0.320673209E-21   0.133255434E-04   0.184324292E-19         0.276516326E+07   0.231841841E+09  -0.305745276E+06  -0.166750069E-11   0.193220380E+05   0.958486317E-10       0.276516326E+07   0.231841841E+09  -0.305745276E+06  -0.166750069E-11   0.193220380E+05   0.958486317E-10       0.000000000E+00   0.000000000E+00   0.925190165-311
