  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.291081603E-18   0.269758940E-02  -0.929908574E-05        -0.603381473E-04   0.525298668E-02   0.307794796E-02   0.510953080E-20   0.122786179E-02  -0.495832312E-19      -0.603381473E-04   0.525298668E-02   0.307794796E-02   0.510953080E-20   0.122786179E-02  -0.495832312E-19         0.202235996E+07   0.211780067E+09  -0.120841290E+07   0.265695602E-10   0.178039960E+07  -0.257832802E-09       0.202235996E+07   0.211780067E+09  -0.120841290E+07   0.265695602E-10   0.178039960E+07  -0.257832802E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.290453692E-18   0.269924703E-02  -0.773647298E-05        -0.607099791E-04   0.542346639E-02   0.315621238E-02  -0.940760822E-21   0.392018614E-03  -0.314938912E-19      -0.607099791E-04   0.542346639E-02   0.315621238E-02  -0.940760822E-21   0.392018614E-03  -0.314938912E-19         0.315314448E+07   0.236088915E+09   0.455974748E+06  -0.489195627E-11   0.568426990E+06  -0.163768234E-09       0.315314448E+07   0.236088915E+09   0.455974748E+06  -0.489195627E-11   0.568426990E+06  -0.163768234E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.289825565E-18   0.269952196E-02  -0.615569304E-05        -0.609081461E-04   0.545210859E-02   0.315746633E-02  -0.120049506E-20  -0.983724141E-04  -0.220192358E-19      -0.609081461E-04   0.545210859E-02   0.315746633E-02  -0.120049506E-20  -0.983724141E-04  -0.220192358E-19         0.328603578E+07   0.240118717E+09   0.598719721E+06  -0.624257430E-11  -0.142640000E+06  -0.114500026E-09       0.328603578E+07   0.240118717E+09   0.598719721E+06  -0.624257430E-11  -0.142640000E+06  -0.114500026E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.289197052E-18   0.269906293E-02  -0.458551717E-05        -0.609962787E-04   0.540541528E-02   0.311937682E-02   0.204362100E-20  -0.313557928E-03  -0.159404494E-19      -0.609962787E-04   0.540541528E-02   0.311937682E-02   0.204362100E-20  -0.313557928E-03  -0.159404494E-19         0.289639296E+07   0.233384637E+09  -0.487895944E+05   0.106268292E-10  -0.454658996E+06  -0.828903368E-10       0.289639296E+07   0.233384637E+09  -0.487895944E+05   0.106268292E-10  -0.454658996E+06  -0.828903368E-10       0.000000000E+00   0.000000000E+00   0.000000000E+00
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.288568007E-18   0.269837462E-02  -0.303797447E-05        -0.610238747E-04   0.533511576E-02   0.307124336E-02   0.680342012E-20  -0.323024845E-03  -0.923878181E-20      -0.610238747E-04   0.533511576E-02   0.307124336E-02   0.680342012E-20  -0.323024845E-03  -0.923878181E-20         0.235397857E+07   0.223288151E+09  -0.917636603E+06   0.353777846E-10  -0.468386025E+06  -0.480416654E-10       0.235397857E+07   0.223288151E+09  -0.917636603E+06   0.353777846E-10  -0.468386025E+06  -0.480416654E-10       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.288567981E-18   0.269837459E-02  -0.303791325E-05        -0.610238751E-04   0.533511303E-02   0.307124155E-02   0.680361664E-20  -0.323022039E-03  -0.923846081E-20      -0.610238751E-04   0.533511303E-02   0.307124155E-02   0.680361664E-20  -0.323022039E-03  -0.923846081E-20        -0.599647665E+07  -0.464860582E+09  -0.850966322E+05  -0.643074882E-10  -0.167971460E+07  -0.679968340E-09      -0.599647665E+07  -0.464860582E+09  -0.850966322E+05  -0.643074882E-10  -0.167971460E+07  -0.679968340E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.287938395E-18   0.269781743E-02  -0.151241463E-05        -0.610262903E-04   0.527815446E-02   0.303399081E-02   0.113899649E-19  -0.195668089E-03   0.902603617E-21      -0.610262903E-04   0.527815446E-02   0.303399081E-02   0.113899649E-19  -0.195668089E-03   0.902603617E-21        -0.642212886E+07  -0.465686946E+09  -0.777728818E+06  -0.284141069E-10  -0.101747406E+07  -0.615500709E-09      -0.642212886E+07  -0.465686946E+09  -0.777728818E+06  -0.284141069E-10  -0.101747406E+07  -0.615500709E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.287308565E-18   0.269760767E-02   0.274257673E-15        -0.610247384E-04   0.525670458E-02   0.302017842E-02   0.144125633E-19  -0.296188637E-15   0.160948643E-19      -0.610247384E-04   0.525670458E-02   0.302017842E-02   0.144125633E-19  -0.296188637E-15   0.160948643E-19        -0.658110413E+07  -0.465997126E+09  -0.103608273E+07   0.208982167E-10  -0.154018091E-05  -0.532098934E-09      -0.658110413E+07  -0.465997126E+09  -0.103608273E+07   0.208982167E-10  -0.154018091E-05  -0.532098934E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.286679263E-18   0.269781743E-02   0.151241463E-05        -0.610262903E-04   0.527815446E-02   0.303399081E-02   0.147797499E-19   0.195668089E-03   0.367429164E-19      -0.610262903E-04   0.527815446E-02   0.303399081E-02   0.147797499E-19   0.195668089E-03   0.367429164E-19        -0.642212886E+07  -0.465686946E+09  -0.777728818E+06   0.663601934E-10   0.101747406E+07  -0.429131083E-09      -0.642212886E+07  -0.465686946E+09  -0.777728818E+06   0.663601934E-10   0.101747406E+07  -0.429131083E-09       0.000000000E+00   0.000000000E+00   0.000000000E+00
