  ID                  X_EVAL            Y_EVAL            Z_EVAL                 X_REQ             Y_REQ             Z_REQ          LAM    ELE  S_ELE                     U_X               U_Y               U_Z             EPS_XX(LOC)       EPS_YY(LOC)       EPS_ZZ(LOC)       EPS_XZ(LOC)       EPS_YZ(LOC)       EPS_XY(LOC)           EPS_XX(GLB)       EPS_YY(GLB)       EPS_ZZ(GLB)       EPS_XZ(GLB)       EPS_YZ(GLB)       EPS_XY(GLB)             SIG_XX(LOC)       SIG_YY(LOC)       SIG_ZZ(LOC)       SIG_XZ(LOC)       SIG_YZ(LOC)       SIG_XY(LOC)           SIG_XX(GLB)       SIG_YY(GLB)       SIG_ZZ(GLB)       SIG_XZ(GLB)       SIG_YZ(GLB)       SIG_XY(GLB)                    DT              VOLT                %H
   1        -0.560700739E-17   0.499999997E+00  -0.299999003E-02       0.000000000E+00   0.500000000E+00  -0.299999000E-02            1      5      1        -0.169140016E-13   0.269915448E-02  -0.918128907E-05        -0.616311697E-04   0.542216238E-02   0.312485996E-02  -0.711908716E-17   0.144993084E-03  -0.516025706E-13      -0.616311697E-04   0.542216238E-02   0.312485996E-02  -0.711908716E-17   0.144993084E-03  -0.516025706E-13         0.299032614E+07   0.235759965E+09   0.866587993E+05  -0.370192532E-07   0.210239971E+06  -0.268333367E-03       0.299032614E+07   0.235759965E+09   0.866587993E+05  -0.370192532E-07   0.210239971E+06  -0.268333367E-03       0.000000000E+00   0.000000000E+00  -0.497174000+221
   2        -0.560700739E-17   0.499999997E+00  -0.250000003E-02       0.000000000E+00   0.500000000E+00  -0.250000000E-02            1      5      1        -0.151049403E-13   0.269874945E-02  -0.761780942E-05        -0.616098531E-04   0.536842187E-02   0.312918374E-02  -0.448096649E-16   0.135980372E-03  -0.429825413E-13      -0.616098531E-04   0.536842187E-02   0.312918374E-02  -0.448096649E-16   0.135980372E-03  -0.429825413E-13         0.276814308E+07   0.228227527E+09  -0.106328965E+06  -0.233010257E-06   0.197171539E+06  -0.223509215E-03       0.276814308E+07   0.228227527E+09  -0.106328965E+06  -0.233010257E-06   0.197171539E+06  -0.223509215E-03       0.000000000E+00   0.000000000E+00   0.219770992+289
   3        -0.560700739E-17   0.499999997E+00  -0.200000000E-02       0.000000000E+00   0.500000000E+00  -0.200000000E-02            1      5      1        -0.132958571E-13   0.269889721E-02  -0.605213647E-05        -0.615474060E-04   0.538175945E-02   0.313350761E-02  -0.818606628E-16   0.127213594E-03  -0.343761343E-13      -0.615474060E-04   0.538175945E-02   0.313350761E-02  -0.818606628E-16   0.127213594E-03  -0.343761343E-13         0.284925904E+07   0.230121634E+09   0.370379256E+04  -0.425675446E-06   0.184459711E+06  -0.178755898E-03       0.284925904E+07   0.230121634E+09   0.370379256E+04  -0.425675446E-06   0.184459711E+06  -0.178755898E-03       0.000000000E+00   0.000000000E+00   0.000000000E+00
   4        -0.560700739E-17   0.499999997E+00  -0.149999997E-02       0.000000000E+00   0.500000000E+00  -0.150000000E-02            1      5      1        -0.114867883E-13   0.269959778E-02  -0.448430159E-05        -0.614438282E-04   0.546217688E-02   0.313783148E-02  -0.118291627E-15   0.118692933E-03  -0.257865965E-13      -0.614438282E-04   0.546217688E-02   0.313783148E-02  -0.118291627E-15   0.118692933E-03  -0.257865965E-13         0.323368154E+07   0.241442534E+09   0.416763986E+06  -0.615116461E-06   0.172104753E+06  -0.134090302E-03       0.323368154E+07   0.241442534E+09   0.416763986E+06  -0.615116461E-06   0.172104753E+06  -0.134090302E-03       0.000000000E+00   0.000000000E+00   0.000000000E+00
   5        -0.560700739E-17   0.499999997E+00  -0.100000997E-02       0.000000000E+00   0.500000000E+00  -0.100001000E-02            1      5      1        -0.967777014E-14   0.270085112E-02  -0.291433631E-05        -0.612991232E-04   0.560967050E-02   0.314215526E-02  -0.154088486E-15   0.110418553E-03  -0.172182078E-13      -0.612991232E-04   0.560967050E-02   0.314215526E-02  -0.154088486E-15   0.110418553E-03  -0.172182078E-13         0.392139373E+07   0.262189713E+09   0.113283420E+07  -0.801260126E-06   0.160106902E+06  -0.895346803E-04       0.392139373E+07   0.262189713E+09   0.113283420E+07  -0.801260126E-06   0.160106902E+06  -0.895346803E-04       0.000000000E+00   0.000000000E+00   0.000000000E+00
 
   6        -0.560700739E-17   0.499999997E+00  -0.999990034E-03       0.000000000E+00   0.500000000E+00  -0.999990000E-03            2      5      2        -0.967769803E-14   0.270085090E-02  -0.291427595E-05        -0.612991085E-04   0.560964568E-02   0.291430386E-02  -0.539843304E-15  -0.328277026E-02  -0.172193200E-13      -0.612991085E-04   0.560964568E-02   0.291430386E-02  -0.539843304E-15  -0.328277026E-02  -0.172193200E-13        -0.550426618E+07  -0.462449892E+09  -0.602241177E+06  -0.783526584E-06  -0.170704054E+08  -0.895411532E-04      -0.550426618E+07  -0.462449892E+09  -0.602241177E+06  -0.783526584E-06  -0.170704054E+08  -0.895411532E-04       0.000000000E+00   0.000000000E+00   0.000000000E+00
   7        -0.560700739E-17   0.499999997E+00  -0.500000035E-03       0.000000000E+00   0.500000000E+00  -0.500000000E-03            2      5      2        -0.786885032E-14   0.269120386E-02  -0.145715316E-05        -0.608680751E-04   0.453970830E-02   0.291430386E-02  -0.428125647E-15  -0.164140160E-02  -0.861104902E-14      -0.608680751E-04   0.453970830E-02   0.291430386E-02  -0.428125647E-15  -0.164140160E-02  -0.861104902E-14        -0.102739814E+08  -0.474703605E+09  -0.559566405E+07  -0.621159089E-06  -0.853528834E+07  -0.447779210E-04      -0.102739814E+08  -0.474703605E+09  -0.559566405E+07  -0.621159089E-06  -0.853528834E+07  -0.447779210E-04       0.000000000E+00   0.000000000E+00   0.000000000E+00
   8        -0.560700739E-17   0.499999997E+00  -0.560700739E-19       0.000000000E+00   0.500000000E+00   0.000000000E+00            2      5      2        -0.605990698E-14   0.268798809E-02  -0.112701278E-11        -0.607243934E-04   0.418305296E-02   0.291430386E-02  -0.315803897E-15  -0.148812915E-14   0.667755116E-17      -0.607243934E-04   0.418305296E-02   0.291430386E-02  -0.315803897E-15  -0.148812915E-14   0.667755116E-17        -0.118639290E+08  -0.478788285E+09  -0.726018289E+07  -0.457915651E-06  -0.773827156E-05   0.343316311E-07      -0.118639290E+08  -0.478788285E+09  -0.726018289E+07  -0.457915651E-06  -0.773827156E-05   0.343316311E-07       0.000000000E+00   0.000000000E+00   0.000000000E+00
   9        -0.560700739E-17   0.499999997E+00   0.500000035E-03       0.000000000E+00   0.500000000E+00   0.500000000E-03            2      5      2        -0.425090430E-14   0.269120386E-02   0.145715091E-05        -0.608680751E-04   0.453970830E-02   0.291430386E-02  -0.202880946E-15   0.164140160E-02   0.861648982E-14      -0.608680751E-04   0.453970830E-02   0.291430386E-02  -0.202880946E-15   0.164140160E-02   0.861648982E-14        -0.102739814E+08  -0.474703605E+09  -0.559566405E+07  -0.293800472E-06   0.853528834E+07   0.448052810E-04      -0.102739814E+08  -0.474703605E+09  -0.559566405E+07  -0.293800472E-06   0.853528834E+07   0.448052810E-04       0.000000000E+00   0.000000000E+00   0.000000000E+00
